ぶあつく	ぶ厚く 分厚く
ぶかかっ	深かかっ 深かっ
ほし	欲 欲し
ほしく	慾しく 欲く 欲しく
ほどちか	ほど近 程近
ほどちかい	ほど近い 程近い
ほどちかかっ	ほど近かっ 程近かっ
ほどちかく	ほど近く 程近く
ほどとおい	ほど遠い 程遠い
ほどとおかっ	ほど遠かっ 程遠かっ
ほどとおく	ほど遠く 程遠く
ほどよ	ほど良 程好 程良
ほどよい	ほど良い 程よい 程好い 程良い
ほどよく	ほど良く 程よく 程好く 程良く
まがまがしい	凶々しい 禍々しい 禍禍しい
ましろ	ま白 真白
ましろい	ま白い 真白い
まず	まづ 不味
まずい	まづい マズい 不味い
まずかっ	マズかっ 不味かっ
まずく	マズく 不味く
まずし	貧 貧し
まちどおしい	待ちどおしい 待ち遠しい
まっくろ	まっ黒 真黒
まっくろい	まっ黒い 真っ黒い
まっくろく	真っ黒く 真黒く
まっしろ	真っ白 真白
まっしろい	まっ白い 真っ白い 真白い
まばゆ	目映 眩
まばゆい	目映い 眩い 眩ゆい
まばゆく	目映く 眩く 眩ゆく
まる	丸 円
まるい	丸い 円い
まるく	丸く 円く
まんまるい	まん丸い 真ん丸い
みじか	短 短か
みじかい	短い 短かい
みじかかっ	短かかっ 短かっ
みじかく	短かく 短く
みじかけれ	短かけれ 短けれ
みすぼらしい	見すぼらしい 見窄らしい
みすぼらしく	見すぼらしく 見窄らしく
みずくさい	水くさい 水臭い
みずみずしい	水々しい 瑞々しい
みにくい	醜い 醜くい
みにくかっ	醜かっ 醜くかっ
みにくけれ	醜くけれ 醜けれ
むごい	ムゴい 惨い
むごたらしい	惨たらしい 酷たらしい
むごたらしく	惨たらしく 酷たらしく
むしあつ	むし暑 蒸し暑
むしあつい	むし暑い 蒸し暑い
むしあつく	むし暑く 蒸し暑く
むずかし	難 難し
むずかしい	難かしい 難しい
むずかしく	難かしく 難しく
むつまじい	睦じい 睦まじい
むなし	空し 虚し
むなしい	空い 空しい 虚しい
むなしかっ	空しかっ 虚しかっ
むなしく	空く 空しく 虚しく
めぐみふかい	めぐみ深い 恵み深い
めざとい	目ざとい 目敏い
めざとく	目ざとく 目敏く
めざまし	目覚し 目覚まし
めざましい	目ざましい 目覚しい 目覚ましい
めざましかっ	目ざましかっ 目覚しかっ 目覚ましかっ
めざましく	目ざましく 目覚しく 目覚ましく
めずらし	珍 珍し 珍らし
めずらしい	珍い 珍しい 珍らしい
めずらしかっ	珍かっ 珍しかっ 珍らしかっ
めずらしく	珍しく 珍らしく
ものう	もの憂 懶 物憂
ものうい	もの憂い 懶い 物憂い
ものがたい	もの堅い 物堅い
ものがなし	もの悲し 物哀し 物悲し
ものがなしい	もの悲しい 物哀しい 物悲しい
ものがなしく	もの悲しく 物悲しく
ものぐるおしい	もの狂おしい 物狂おしい
ものさびし	もの寂し 物寂し
ものさびしい	もの寂しい 物寂しい 物淋しい
ものすご	もの凄 物凄
ものすごい	もの凄い 物凄い
ものすごく	もの凄く 物すごく 物凄く
ものほし	もの欲し 物欲し
ものめずらし	もの珍し 物珍し
ものめずらしい	もの珍しい 物珍しい
ものめずらしかっ	もの珍しかっ 物珍しかっ
ものめずらしく	もの珍しく 物珍しく
もろい	モロい 脆い
やさし	優し 易し
やさしい	優しい 易しい
やさしかっ	優しかっ 易しかっ
やさしく	優しく 易しく
やす	安 廉
やすい	安い 廉い
やすかっ	安かっ 易かっ
やすく	安く 廉く 易く
やましい	疚しい 疾しい
やむな	やむ無 已むな 止むな 止む無
やむなく	やむ無く 已むなく 止むなく 止む無く
やわ	柔 軟
やわく	柔く 軟く
やわらか	柔か 柔らか 軟か 軟らか
やわらかい	柔かい 柔らかい 軟かい 軟らかい
やわらかかっ	柔らかかっ 軟らかかっ
やわらかく	柔かく 柔らかく 軟かく 軟らかく
やわらかけれ	柔らかけれ 軟らかけれ
ゆゆし	由々し 由由し
ゆるい	ユルい 緩い
ゆるぎな	揺ぎ無 揺るぎな
ゆるぎない	揺ぎない 揺ぎ無い 揺るぎない 揺るぎ無い
ゆるぎなく	揺ぎ無く 揺るぎなく
ゆるく	ユルく 緩く
よ	佳 善 好 宜 快 悦 良
よい	佳い 善 善い 好い 宜い 快い 悦い 良い
よう	善う 好う 良う
よかっ	善かっ 好かっ 良かっ
よから	好から 良から
よかれ	好かれ 良かれ
よかろう	好かろう 良かろう
よき	好 良 良き
よく	佳く 善く 好く 快く 良く
よけれ	善けれ 好けれ 良けれ
よさ	善さ 好さ 良さ
よし	好し 良し
よっ	好っ 悦っ
よろこばし	喜し 喜ばし 悦し
よろこばしい	喜ばしい 悦ばしい
