いきづく	息づく 息衝く
いきづまっ	生き詰まっ 行きづまっ 行き詰っ 行き詰まっ
いきづまら	行き詰まら 行き詰ら
いきづまり	息詰まり 行きづまり 行き詰まり 行き詰り
いきづまる	息づまる 息詰まる 行きづまる 行き詰まる 行き詰る
いきとどい	行きとどい 行き届い 行届い
いきとどか	いき届か 行きとどか 行き届か 行届か
いきとどき	いき届き 行き届き 行届き
いきながらえ	生きながらえ 生き存え 生き永らえ 生き長らえ
いきながらえる	生きながらえる 生き存える 生き永らえる 生き長らえる
いきのこっ	生きのこっ 生き残っ 生残っ
いきのこら	生き残ら 生残ら
いきのこり	生きのこり 生き残り 生残り
いきのこる	生きのこる 生き残る 生残る
いきのこれ	生き残れ 生残れ
いきのび	生きのび 生き伸び 生き延び
いきのびよう	生きのびよう 生き延びよう
いきのびる	生きのびる 生き伸びる 生き延びる
いきのびろ	生き伸びろ 生き延びろ
いきまい	息まい 息巻い
いきまき	息まき 息巻き
いきまく	息まく 息巻く
いきゃ	イきゃ 行きゃ
いきる	イキる 射切る 活きる 生きる 生る
いきわかれ	生き別れ 行き別れ
いく	イく 去く 往く 生く 行 行く 行ク 逝く
いけ	イけ 往け 活け 生け 行け 逝け
いけどっ	生け取っ 生け捕っ
いけよう	生けよう 行けよう
いける	イケる 活ける 生ける 行ける 逝ける
いけれ	埋けれ 活けれ 行けれ 逝けれ
いこ	イこ 生こ 行こ
いこう	イこう 憩う 行こう 逝こう
いこっ	憩っ 行こっ
いこふ	イこふ 憩ふ
いこま	射込ま 鋳込ま
いこみ	射込み 鋳込み
いこん	射込ん 鋳込ん
いさぶ	叱 嘖
いさみたた	勇みたた 勇み立た
いさみたっ	勇みたっ 勇み立っ
いさめ	勇め 諌め 諫め
いさめよう	諌めよう 諫めよう
いさめる	諌める 諫める
いざり	膝行り 躄り
いし	委し 慰し
いじめ	イジめ 苛め 虐め
いじめる	イジめる イジメる 苛める 虐める
いじら	イジら 弄ら
いじり	イジり 弄り
いじりたおし	いじり倒し 弄り倒し
いじりたおす	いじり倒す 弄り倒す
いじりまわさ	いじり回さ 弄り回さ
いじりまわし	いじり回し 弄りまわし 弄り回し
いじりまわす	いじり回す 弄り回す
いじる	イジる 弄る
いじれる	イジれる 弄れる
いすくめ	射すくめ 射竦め
いする	医する 委する
いすわっ	居すわっ 居座っ
いすわり	居すわり 居座り
いすわる	居すわる 居座る
いたおし	射倒し 射斃し
いたたまれ	居たたまれ 居た堪れ
いただい	戴い 頂い
いただか	戴か 頂か
いただき	いたゞき 戴き 頂き
いただく	いたゞく 戴く 頂く
いただけ	戴け 頂け
いただける	戴ける 頂ける
いただこう	戴こう 頂こう
いたっ	到っ 至っ 至ッ
いたぶる	甚振る 痛ぶる
いたま	傷ま 悼ま 痛ま
いたみ	傷み 悼み 痛み
いたむ	傷む 悼む 痛む
いため	イタめ 傷め 悼め 撓め 炒め 痛め
いためつけ	傷めつけ 痛めつけ 痛め付け
いためつける	傷めつける 痛めつける 痛め付ける
いためよう	傷めよう 痛めよう
いためる	傷める 撓める 炒める 痛める
いたら	到ら 至 至ら
いたり	到り 至 至り
いたりつく	到り着く 至り着く
いたる	到る 至 至る
いたれ	到れ 至れ
いたれる	到れる 至れる
いたわっ	労っ 労わっ
いたわら	労ら 労わら 慰ら
いたわり	労り 労わり
いたわりあい	いたわり合い 労わり合い
いたわる	労る 労わる
いたわれ	労れ 労われ
いたん	傷ん 悼ん 痛ん
いださ	出ださ 射出さ 鋳出さ
いだし	射出し 鋳出し
いだす	出だす 射出す 鋳出す
いっ	イっ 云っ 入っ 去っ 參っ 往っ 炒っ 煎っ 生っ 行っ 要っ 言っ 謂っ 逝っ
いっし	佚し 逸し
いつい	居つい 居付い 居着い 斎い
いつか	傅か 居つか 居付か 居着か 斎か
いつき	居つき 居付き 居着き 斎き
いつく	居つく 居付く 居着く 斎く
いつくしま	愛しま 慈しま
いつくしみ	愛しみ 慈しみ
いつくしむ	愛しむ 慈しむ
いつくしん	愛しん 慈しん
いつぶさ	鋳つぶさ 鋳潰さ
いつぶし	鋳つぶし 鋳潰し
いつぶす	鋳つぶす 鋳潰す
いつわっ	偽っ 偽わっ 詐っ
いつわら	偽ら 偽わら
いつわり	偽り 偽わり 詐り
いつわる	佯る 偽る
いてつい	凍てつい 凍て付い
いてつく	凍てつく 凍て付く
いでたち	いで立ち 出で立ち 出立ち
いでたっ	いで立っ 出で立っ
いでたつ	出で立つ 出立つ
いとなま	営なま 営ま
いとなみ	営なみ 営み
いとなむ	営なむ 営む
いとなん	営なん 営ん
いとめ	射とめ 射止め 射留め
いとめる	射とめる 射止める
いどみかかり	挑みかかり 挑み掛かり
いなし	去なし 往なし
いならぶ	居ならぶ 居並ぶ
いぬい	射ぬい 射抜い 射貫い
いぬか	射ぬか 射抜か 射貫か
いぬき	い抜き 射ぬき 射抜き 射貫き
いぬく	射ぬく 射抜く 射貫く
いのっ	祈っ 祷っ
いのら	祈ら 祷ら
いのり	祈り 祷り 禱り
いのる	祈る 祷る
いは	云は 言は 謂は
いはう	云はう 言はう 謂はう
いばりちらし	いばり散らし 威張りちらし 威張り散らし
いひ	云ひ 言ひ 謂ひ
いふ	云ふ 言ふ 謂ふ
いぶりださ	いぶり出さ 燻り出さ
いぶりだし	いぶり出し 燻り出し
いぶりだす	いぶり出す 燻り出す
いぶりだそう	いぶり出そう 燻り出そう
いへ	云へ 言へ
いましめ	戒め 縛め 誡め 警め
いましめる	戒める 縛める 誡める
いましめん	戒めん 誡めん
います	在す 坐す
いみきらう	忌みきらう 忌み嫌う
いみきらわ	忌み嫌わ 忌嫌わ
いや	言や 謂や
いやさ	癒さ 癒やさ
いやし	癒し 癒やし
いやしま	卑しま 賤しま
いやしみ	卑しみ 賤しみ
いやしむ	卑しむ 賎しむ 賤しむ
いやしめ	卑しめ 賎しめ 賤しめ
いやしん	卑しん 賤しん
いやす	癒す 癒やす
いやせ	癒せ 癒やせ
いやそう	癒そう 癒やそう
いやまし	いや増し 弥増し
いよ	射よ 居よ
いよう	射よう 居よう
いら	入ら 炒ら 煎ら 要ら
いらだた	いら立た 焦ら立た 苛立た
いらだち	いら立ち 苛立ち
いらだっ	いら立っ 苛だっ 苛立っ
いらだつ	いら立つ 焦立つ 苛立つ
いらつい	イラつい 苛つい
いらつか	イラつか 苛つか
いらつき	イラつき 苛つき
いり	入り 炒り 煎り 熬り 要り
いりくみ	入りくみ 入り組み 入組み
いりくん	いり組ん 入りくん 入り組ん 入組ん
いりつけ	炒り付け 煎りつけ 煎り付け
いりびたっ	入りびたっ 入り浸っ 入浸っ
いりびたり	入りびたり 入り浸り
いりびたる	入りびたる 入り浸る
いりまじっ	入りまじっ 入り交じっ 入り交っ 入り混じっ 入混じっ
いりまじり	いり交じり 入りまじり 入り交じり 入り混じり 入り雑じり
いりまじる	入りまじる 入り交じる 入り混じる
いりまぜ	入り交ぜ 入り混ぜ
いりみだれ	入りみだれ 入り乱れ
いりみだれる	入りみだれる 入り乱れる
いる	入る 射る 居る 炒る 煎る 熬る 要る 鋳る
いれ	入れ 容 容れ 射れ 居れ 挿れ 淹れ 炒れ 煎れ 納れ 要れ
いれあげ	入れあげ 入れ上げ 入れ揚げ
いれあげる	入れあげる 入れ上げる 入れ揚げる
いれかえ	入れかえ 入れ変え 入れ換え 入れ替え 入換え 入替え
いれかえる	入れかえる 入れ変える 入れ換える 入れ替える 入換える 入替える
いれかえれ	入れかえれ 入れ替えれ
いれかわっ	入れかわっ 入れ代わっ 入れ変わっ 入れ換わっ 入れ替っ 入れ替わっ 入替っ
いれかわり	入れかわり 入れ代り 入れ代わり 入れ変わり 入れ換わり 入れ替り 入れ替わり 入替り 入替わり
いれかわる	入れかわる 入れ代わる 入れ変わる 入れ換わる 入れ替る 入れ替わる 入替わる
いれこみ	入れ込み 入込み
いれこん	入れ込ん 入込ん
いれちがい	入れちがい 入れ違い
いれよ	入れよ 容れよ 居れよ
いれよう	入れよう 容れよう 挿れよう 淹れよう
いれる	入れる 容る 容れる 射れる 居れる 挿れる 淹れる 煎れる 納れる
いれれ	入れれ 容れれ
いろ	射ろ 居ろ
いろあせ	色あせ 色褪せ
いろあせる	色あせる 色褪せる
いろづい	色づい 色付い
いろづか	色づか 色付か
いろづき	色づき 色付き
いろづく	色づく 色付く
いろづけ	色づけ 色付け
いろどっ	彩っ 彩どっ
いろどり	彩どり 彩り
いわ	云わ 言わ 謂わ
いわさ	云わさ 言さ 言わさ
いわし	云わし 言し 言わし
いわす	云わす 言す 言わす
いん	射ん 居ん 忌ん
いんする	印する 因する 淫する
うえ	植え 樹え 種 飢え 餓え
うえかえ	植え代え 植え換え 植え替え
うえかえる	植えかえる 植え替える
うえこま	植えこま 植え込ま
うえこみ	植え込み 植込み
うえこむ	植えこむ 植え込む 植込む
うえこん	植えこん 植え込ん 植込ん
